Scientific (Clements),MNEMONIC
Ocyceros gingalensis,nan
Anthracoceros malayanus,nan
Anthracoceros montani,nan
Anthracoceros coronatus,nan
Anthracoceros albirostris,nan
Anthracoceros marchei,nan
Aceros nipalensis,nan
Rhyticeros cassidix,nan
Rhyticeros everetti,nan
Rhyticeros undulatus,nan
Rhyticeros subruficollis,nan
Rhyticeros narcondami,nan
Rhyticeros plicatus,nan
Rhabdotorrhinus exarhatus,nan
Rhabdotorrhinus corrugatus,nan
Rhabdotorrhinus waldeni,nan
Rhabdotorrhinus leucocephalus,nan
Penelopides panini,nan
Penelopides manillae,nan
Penelopides mindorensis,nan
Penelopides samarensis,nan
Penelopides affinis,nan
Nyctyornis amictus,nan
Nyctyornis athertoni,nan
Meropogon forsteni,nan
Merops gularis,nan
Merops mentalis,nan
Merops muelleri,nan
Merops bulocki,nan
Merops bullockoides,nan
Merops pusillus,nan
Merops variegatus,nan
Merops lafresnayii,nan
Merops oreobates,nan
Merops hirundineus,nan
Merops breweri,nan
Merops revoilii,nan
Merops albicollis,nan
Merops viridissimus,nan
Merops cyanophrys,nan
Merops orientalis,nan
Merops boehmi,nan
Merops viridis,nan
Merops americanus,nan
Merops persicus,nan
Merops superciliosus,nan
Merops philippinus,nan
Merops ornatus,nan
Merops apiaster,nan
Merops leschenaulti,nan
Merops malimbicus,nan
Merops nubicus,nan
Merops nubicoides,nan
Todus multicolor,nan
Todus subulatus,nan
Todus angustirostris,nan
Todus todus,nan
Todus mexicanus,nan
Hylomanes momotula,nan
Aspatha gularis,nan
Momotus mexicanus,nan
Momotus coeruliceps,nan
Momotus lessonii,nan
Momotus subrufescens,nan
Momotus bahamensis,nan
Momotus momota,nan
Momotus aequatorialis,nan
Baryphthengus martii,nan
Baryphthengus ruficapillus,nan
Electron carinatum,nan
Electron platyrhynchum,nan
Eumomota superciliosa,nan
Alcedo hercules,nan
Alcedo atthis,nan
Alcedo semitorquata,nan
Alcedo quadribrachys,nan
Alcedo meninting,nan
Alcedo peninsulae,nan
Alcedo euryzona,nan
Alcedo coerulescens,nan
Ceyx azureus,nan
Ceyx websteri,nan
Ceyx cyanopectus,nan
Ceyx flumenicola,nan
Ceyx argentatus,nan
Ceyx pusillus,nan
Ceyx erithaca,nan
Ceyx rufidorsa,nan
Ceyx melanurus,nan
Ceyx sangirensis,nan
Ceyx fallax,nan
Ceyx margarethae,nan
Ceyx wallacii,nan
Ceyx lepidus,nan
Ceyx cajeli,nan
Ceyx solitarius,nan
Ceyx dispar,nan
Ceyx mulcatus,nan
Ceyx sacerdotis,nan
Ceyx collectoris,nan
Ceyx meeki,nan
Ceyx nigromaxilla,nan
Ceyx gentianus,nan
Corythornis cristatus,nan
Corythornis vintsioides,nan
Corythornis leucogaster,nan
Corythornis madagascariensis,nan
Ispidina picta,nan
Ispidina lecontei,nan
Lacedo pulchella,nan
Dacelo novaeguineae,nan
Dacelo leachii,nan
Dacelo tyro,nan
Dacelo gaudichaud,nan
Dacelo rex,nan
Cittura sanghirensis,nan
Cittura cyanotis,nan
Pelargopsis amauroptera,nan
Pelargopsis capensis,nan
Pelargopsis melanorhyncha,nan
Halcyon coromanda,nan
Halcyon badia,nan
Halcyon smyrnensis,nan
Halcyon gularis,nan
Halcyon leucocephala,nan
Halcyon pileata,nan
Halcyon cyanoventris,nan
Halcyon senegalensis,nan
Halcyon senegaloides,nan
Halcyon malimbica,nan
Halcyon albiventris,nan
Halcyon chelicuti,nan
Todiramphus nigrocyaneus,nan
Todiramphus winchelli,nan
Todiramphus diops,nan
Todiramphus lazuli,nan
Todiramphus pyrrhopygius,nan
Todiramphus macleayii,nan
Todiramphus albonotatus,nan
Todiramphus leucopygius,nan
Todiramphus farquhari,nan
Todiramphus godeffroyi,nan
Todiramphus ruficollaris,nan
Todiramphus veneratus,nan
Todiramphus gambieri,nan
Todiramphus tutus,nan
Todiramphus sacer,nan
Todiramphus pelewensis,nan
Todiramphus cinnamominus,nan
Todiramphus reichenbachii,nan
Todiramphus recurvirostris,nan
Todiramphus colonus,nan
Todiramphus sordidus,nan
Todiramphus sanctus,nan
Todiramphus chloris,nan
Todiramphus saurophagus,nan
Todiramphus albicilla,nan
Todiramphus tristrami,nan
Todiramphus funebris,nan
Todiramphus enigma,nan
Todiramphus australasia,nan
Caridonax fulgidus,nan
Melidora macrorrhina,nan
Actenoides bougainvillei,nan
Actenoides concretus,nan
Actenoides lindsayi,nan
Actenoides hombroni,nan
Actenoides monachus,nan
Actenoides princeps,nan
Syma torotoro,nan
Syma megarhyncha,nan
Tanysiptera hydrocharis,nan
Tanysiptera galatea,nan
Tanysiptera ellioti,nan
Tanysiptera riedelii,nan
Tanysiptera carolinae,nan
Tanysiptera nympha,nan
Tanysiptera danae,nan
Tanysiptera sylvia,nan
Tanysiptera nigriceps,nan
Megaceryle maxima,nan
Megaceryle lugubris,nan
Megaceryle torquata,nan
Megaceryle alcyon,stuttering; non-musical; dry rattle in-flight
Ceryle rudis,nan
Chloroceryle amazona,nan
Chloroceryle aenea,nan
Chloroceryle americana,nan
Chloroceryle inda,nan
Coracias garrulus,nan
Coracias abyssinicus,nan
Coracias caudatus,nan
Coracias spatulatus,nan
Coracias naevius,nan
Coracias benghalensis,nan
Coracias affinis,nan
Coracias temminckii,nan
Coracias cyanogaster,nan
Eurystomus glaucurus,nan
Eurystomus gularis,nan
Eurystomus orientalis,nan
Eurystomus azureus,nan
Geobiastes squamiger,nan
Brachypteracias leptosomus,nan
Uratelornis chimaera,nan
Atelornis pittoides,nan
Atelornis crossleyi,nan
Notharchus hyperrhynchus,nan
Notharchus macrorhynchos,nan
Notharchus swainsoni,nan
Notharchus pectoralis,nan
Notharchus ordii,nan
Notharchus tectus,nan
Bucco macrodactylus,nan
Bucco tamatia,nan
Bucco noanamae,nan
Bucco capensis,nan
Nystalus radiatus,nan
Nystalus obamai,nan
Nystalus striolatus,nan
Nystalus chacuru,nan
Nystalus maculatus,nan
Hypnelus ruficollis,nan
Hypnelus bicinctus,nan
Malacoptila fusca,nan
Malacoptila semicincta,nan
Malacoptila striata,nan
Malacoptila rufa,nan
Malacoptila panamensis,nan
Malacoptila fulvogularis,nan
Malacoptila mystacalis,nan
Micromonacha lanceolata,nan
Nonnula rubecula,nan
Nonnula sclateri,nan
Nonnula brunnea,nan
Nonnula frontalis,nan
Nonnula ruficapilla,nan
Nonnula amaurocephala,nan
Hapaloptila castanea,nan
Monasa atra,nan
Monasa nigrifrons,nan
Monasa morphoeus,nan
Monasa flavirostris,nan
Chelidoptera tenebrosa,nan
Galbalcyrhynchus leucotis,nan
Galbalcyrhynchus purusianus,nan
Brachygalba albogularis,nan
Brachygalba lugubris,nan
Brachygalba goeringi,nan
Brachygalba salmoni,nan
Jacamaralcyon tridactyla,nan
Galbula albirostris,nan
Galbula cyanicollis,nan
Galbula ruficauda,nan
Galbula galbula,nan
Galbula tombacea,nan
Galbula cyanescens,nan
Galbula pastazae,nan
Galbula chalcothorax,nan
Galbula leucogastra,nan
Galbula dea,nan
Jacamerops aureus,nan
Trachylaemus goffinii,nan
Trachylaemus purpuratus,nan
Trachyphonus vaillantii,nan
Trachyphonus erythrocephalus,nan
Trachyphonus margaritatus,nan
Trachyphonus darnaudii,nan
Cryptolybia olivacea,nan
Gymnobucco bonapartei,nan
Gymnobucco sladeni,nan
Gymnobucco peli,nan
Gymnobucco calvus,nan
Stactolaema leucotis,nan
Stactolaema whytii,nan
Stactolaema anchietae,nan
Pogoniulus scolopaceus,nan
Pogoniulus simplex,nan
Pogoniulus leucomystax,nan
Pogoniulus coryphaea,nan
Pogoniulus atroflavus,nan
Pogoniulus subsulphureus,nan
Pogoniulus bilineatus,nan
Pogoniulus uropygialis,nan
Pogoniulus pusillus,nan
Pogoniulus chrysoconus,nan
Buccanodon duchaillui,nan
Tricholaema hirsuta,nan
Tricholaema diademata,nan
Tricholaema frontata,nan
Tricholaema leucomelas,nan
Tricholaema lacrymosa,nan
Tricholaema melanocephala,nan
Lybius undatus,nan
Lybius vieilloti,nan
Lybius leucocephalus,nan
Lybius chaplini,nan
Lybius rubrifacies,nan
Lybius guifsobalito,nan
Lybius torquatus,nan
Pogonornis melanopterus,nan
Pogonornis minor,nan
Pogonornis bidentatus,nan
Pogonornis dubius,nan
Pogonornis rolleti,nan
Caloramphus hayii,nan
Caloramphus fuliginosus,nan
Psilopogon malabaricus,nan
Psilopogon rubricapillus,nan
Psilopogon haemacephalus,nan
Psilopogon cyanotis,nan
Psilopogon duvaucelii,nan
Psilopogon australis,nan
Psilopogon eximius,nan
Psilopogon pyrolophus,nan
Psilopogon virens,nan
Psilopogon lagrandieri,nan
Psilopogon rafflesii,nan
Psilopogon mystacophanos,nan
Psilopogon javensis,nan
Psilopogon pulcherrimus,nan
Psilopogon henricii,nan
Psilopogon armillaris,nan
Psilopogon faiostrictus,nan
Psilopogon lineatus,nan
Psilopogon zeylanicus,nan
Psilopogon viridis,nan
Psilopogon flavifrons,nan
Psilopogon franklinii,nan
Psilopogon auricularis,nan
Psilopogon monticola,nan
Psilopogon corvinus,nan
Psilopogon chrysopogon,nan
Psilopogon incognitus,nan
Psilopogon nuchalis,nan
Psilopogon faber,nan
Psilopogon asiaticus,nan
Psilopogon annamensis,nan
Psilopogon oorti,nan
Psilopogon chersonesus,nan
Capito aurovirens,nan
Capito dayi,nan
Capito maculicoronatus,nan
Capito squamatus,nan
Capito hypoleucus,nan
Capito wallacei,nan
Capito fitzpatricki,nan
Capito quinticolor,nan
Capito brunneipectus,nan
Capito niger,nan
Capito auratus,nan
Eubucco richardsoni,nan
Eubucco tucinkae,nan
Eubucco bourcierii,nan
Eubucco versicolor,nan
Semnornis frantzii,nan
Semnornis ramphastinus,nan
Aulacorhynchus prasinus,nan
Aulacorhynchus albivitta,nan
Aulacorhynchus sulcatus,nan
Aulacorhynchus derbianus,nan
Aulacorhynchus whitelianus,nan
Aulacorhynchus haematopygus,nan
Aulacorhynchus huallagae,nan
Aulacorhynchus coeruleicinctis,nan
Andigena hypoglauca,nan
Andigena laminirostris,nan
Andigena cucullata,nan
Andigena nigrirostris,nan
Pteroglossus bailloni,nan
Pteroglossus viridis,nan
Pteroglossus inscriptus,nan
Pteroglossus torquatus,nan
Pteroglossus erythropygius,nan
Pteroglossus frantzii,nan
Pteroglossus aracari,nan
Pteroglossus castanotis,nan
Pteroglossus pluricinctus,nan
Pteroglossus azara,nan
Pteroglossus beauharnaisii,nan
Pteroglossus bitorquatus,nan
Selenidera spectabilis,nan
Selenidera piperivora,nan
Selenidera reinwardtii,nan
Selenidera nattereri,nan
Selenidera gouldii,nan
Selenidera maculirostris,nan
Ramphastos toco,nan
Ramphastos ambiguus,nan
Ramphastos tucanus,nan
Ramphastos sulfuratus,nan
Ramphastos brevis,nan
Ramphastos vitellinus,nan
Ramphastos dicolorus,nan
Prodotiscus insignis,nan
Prodotiscus zambesiae,nan
Prodotiscus regulus,nan
Melignomon zenkeri,nan
Melignomon eisentrauti,nan
Indicator pumilio,nan
Indicator willcocksi,nan
Indicator meliphilus,nan
Indicator exilis,nan
Indicator minor,nan
Indicator maculatus,nan
Indicator variegatus,nan
Indicator xanthonotus,nan
Indicator archipelagicus,nan
Indicator indicator,nan
Melichneutes robustus,nan
Jynx torquilla,nan
Jynx ruficollis,nan
Picumnus innominatus,nan
Picumnus aurifrons,nan
Picumnus pumilus,nan
Picumnus lafresnayi,nan
Picumnus exilis,nan
Picumnus sclateri,nan
Picumnus squamulatus,nan
Picumnus spilogaster,nan
Picumnus minutissimus,nan
Picumnus pygmaeus,nan
Picumnus steindachneri,nan
Picumnus varzeae,nan
Picumnus cirratus,nan
Picumnus dorbignyanus,nan
Picumnus temminckii,nan
Picumnus albosquamatus,nan
Picumnus fuscus,nan
Picumnus rufiventris,nan
Picumnus limae,nan
Picumnus nebulosus,nan
Picumnus castelnau,nan
Picumnus subtilis,nan
Picumnus olivaceus,nan
Picumnus granadensis,nan
Picumnus cinnamomeus,nan
Verreauxia africana,nan
Sasia abnormis,nan
Sasia ochracea,nan
Nesoctites micromegas,nan
Hemicircus concretus,nan
Hemicircus canente,nan
Sphyrapicus thyroideus,nan
Sphyrapicus varius,meeew (whiny; nasal)
Sphyrapicus nuchalis,nan
Sphyrapicus ruber,nan
Xiphidiopicus percussus,nan
Melanerpes candidus,nan
Melanerpes lewis,nan
Melanerpes herminieri,nan
Melanerpes portoricensis,nan
Melanerpes erythrocephalus,squeer; squeer (raspy)
Melanerpes formicivorus,nan
Melanerpes chrysauchen,nan
Melanerpes cruentatus,nan
Melanerpes flavifrons,nan
Melanerpes pulcher,nan
Melanerpes pucherani,nan
Melanerpes cactorum,nan
Melanerpes striatus,nan
Melanerpes radiolatus,nan
Melanerpes chrysogenys,nan
Melanerpes hypopolius,nan
Melanerpes pygmaeus,nan
Melanerpes rubricapillus,nan
Melanerpes uropygialis,nan
Melanerpes hoffmannii,nan
Melanerpes aurifrons,nan
Melanerpes carolinus,churrr; churrr (throaty; deeply trilled)
Melanerpes superciliaris,nan
Picoides tridactylus,nan
Picoides dorsalis,nan
Picoides arcticus,nan
Yungipicus temminckii,nan
Yungipicus maculatus,nan
Yungipicus ramsayi,nan
Yungipicus nanus,nan
Yungipicus moluccensis,nan
Yungipicus canicapillus,nan
Yungipicus kizuki,nan
Leiopicus mahrattensis,nan
Dendrocoptes medius,nan
Dendrocoptes auriceps,nan
Dendrocoptes dorae,nan
Chloropicus pyrrhogaster,nan
Chloropicus xantholophus,nan
Chloropicus namaquus,nan
Dendropicos abyssinicus,nan
Dendropicos lugubris,nan
Dendropicos gabonensis,nan
Dendropicos elliotii,nan
Dendropicos elachus,nan
Dendropicos poecilolaemus,nan
Dendropicos fuscescens,nan
Dendropicos stierlingi,nan
Dendropicos obsoletus,nan
Dendropicos goertae,nan
Dendropicos spodocephalus,nan
Dendropicos griseocephalus,nan
Dendrocopos hyperythrus,nan
Dendrocopos macei,nan
Dendrocopos analis,nan
Dendrocopos atratus,nan
Dendrocopos noguchii,nan
Dendrocopos leucotos,nan
Dendrocopos darjellensis,nan
Dendrocopos major,nan
Dendrocopos leucopterus,nan
Dendrocopos himalayensis,nan
Dendrocopos syriacus,nan
Dendrocopos assimilis,nan
Dryobates minor,nan
Dryobates cathpharius,nan
Dryobates pernyii,nan
Dryobates pubescens,peeek (sharply) whinny
Dryobates nuttallii,nan
Dryobates scalaris,nan
Leuconotopicus borealis,nan
Leuconotopicus villosus,pik (flat) whinny
Leuconotopicus albolarvatus,nan
Leuconotopicus fumigatus,nan
Leuconotopicus stricklandi,nan
Leuconotopicus arizonae,nan
Veniliornis kirkii,nan
Veniliornis cassini,nan
Veniliornis spilogaster,nan
Veniliornis mixtus,nan
Veniliornis lignarius,nan
Veniliornis sanguineus,nan
Veniliornis passerinus,nan
Veniliornis frontalis,nan
Veniliornis callonotus,nan
Veniliornis dignus,nan
Veniliornis nigriceps,nan
Veniliornis affinis,nan
Veniliornis chocoensis,nan
Veniliornis maculifrons,nan
Blythipicus rubiginosus,nan
Blythipicus pyrrhotis,nan
Chrysocolaptes validus,nan
Chrysocolaptes guttacristatus,nan
Chrysocolaptes socialis,nan
Chrysocolaptes strictus,nan
Chrysocolaptes haematribon,nan
Chrysocolaptes xanthocephalus,nan
Chrysocolaptes lucidus,nan
Chrysocolaptes erythrocephalus,nan
Chrysocolaptes stricklandi,nan
Chrysocolaptes festivus,nan
Campephilus pollens,nan
Campephilus haematogaster,nan
Campephilus rubricollis,nan
Campephilus robustus,nan
Campephilus melanoleucos,nan
Campephilus guatemalensis,nan
Campephilus gayaquilensis,nan
Campephilus leucopogon,nan
Campephilus magellanicus,nan
Campephilus principalis,nan
Campephilus imperialis,nan
Micropternus brachyurus,nan
Meiglyptes tukki,nan
Meiglyptes grammithorax,nan
Meiglyptes tristis,nan
Meiglyptes jugularis,nan
Gecinulus grantia,nan
Gecinulus viridis,nan
Gecinulus rafflesii,nan
Dinopium shorii,nan
Dinopium javanense,nan
Dinopium everetti,nan
Dinopium benghalense,nan
Dinopium psarodes,nan
Picus chlorolophus,nan
Picus puniceus,nan
Picus xanthopygaeus,nan
Picus squamatus,nan
Picus rabieri,nan
Picus viridanus,nan
Picus vittatus,nan
Picus awokera,nan
Picus canus,nan
Picus erythropygius,nan
Picus vaillantii,nan
Picus viridis,nan
Picus sharpei,nan
Chrysophlegma miniaceum,nan
Chrysophlegma flavinucha,nan
Chrysophlegma mentale,nan
Geocolaptes olivaceus,nan
Pardipicus caroli,nan
Pardipicus nivosus,nan
Campethera tullbergi,nan
Campethera taeniolaema,nan
Campethera maculosa,nan
Campethera nubica,nan
Campethera punctuligera,nan
Campethera bennettii,nan
Campethera scriptoricauda,nan
Campethera notata,nan
Campethera abingoni,nan
Campethera mombassica,nan
Mulleripicus fulvus,nan
Mulleripicus funebris,nan
Mulleripicus fuliginosus,nan
Mulleripicus pulverulentus,nan
Dryocopus lineatus,nan
Dryocopus pileatus,kik-kik-kik-kik-kik (rate & pitch rise then fall)
Dryocopus schulzii,nan
Dryocopus javensis,nan
Dryocopus hodgei,nan
Dryocopus martius,nan
Celeus loricatus,nan
Celeus torquatus,nan
Celeus galeatus,nan
Celeus castaneus,nan
Celeus undatus,nan
Celeus flavus,nan
Celeus spectabilis,nan
Celeus obrieni,nan
Celeus ochraceus,nan
Celeus elegans,nan
Celeus lugubris,nan
Celeus flavescens,nan
Piculus simplex,nan
Piculus callopterus,nan
Piculus leucolaemus,nan
Piculus litae,nan
Piculus flavigula,nan
Piculus chrysochloros,nan
Piculus aurulentus,nan
Colaptes rubiginosus,nan
Colaptes auricularis,nan
Colaptes rivolii,nan
Colaptes atricollis,nan
Colaptes punctigula,nan
Colaptes melanochloros,nan
Colaptes auratus,kleeeyer<br/>wik-wik-wik<br/>Northern Flicker (courting)<br/>squeechu-squeechu-squeechu
Colaptes mexicanoides,nan
Colaptes chrysoides,nan
Colaptes oceanicus,nan
Colaptes fernandinae,nan
Colaptes pitius,nan
Colaptes rupicola,nan
Colaptes campestris,nan
Cariama cristata,nan
Chunga burmeisteri,nan
Herpetotheres cachinnans,nan
Micrastur buckleyi,nan
Micrastur semitorquatus,nan
Micrastur mirandollei,nan
Micrastur ruficollis,nan
Micrastur mintoni,nan
Micrastur plumbeus,nan
Micrastur gilvicollis,nan
Spiziapteryx circumcincta,nan
Caracara lutosa,nan
Caracara plancus,nan
Ibycter americanus,nan
Daptrius chimachima,nan
Daptrius ater,nan
Daptrius chimango,nan
Daptrius carunculatus,nan
Daptrius megalopterus,nan
Daptrius albogularis,nan
Daptrius australis,nan
Polihierax semitorquatus,nan
Microhierax erythrogenys,nan
Microhierax melanoleucos,nan
Microhierax caerulescens,nan
Microhierax fringillarius,nan
Microhierax latifrons,nan
Neohierax insignis,nan
Falco naumanni,nan
Falco tinnunculus,nan
Falco rupicolus,nan
Falco newtoni,nan
Falco punctatus,nan
Falco araeus,nan
Falco duboisi,nan
Falco moluccensis,nan
Falco cenchroides,nan
Falco rupicoloides,nan
Falco sparverius,klee; klee; klee
Falco alopex,nan
Falco ardosiaceus,nan
Falco dickinsoni,nan
Falco zoniventris,nan
Falco chicquera,nan
Falco vespertinus,nan
Falco amurensis,nan
Falco eleonorae,nan
Falco concolor,nan
Falco columbarius,nan
Falco subbuteo,nan
Falco cuvierii,nan
Falco severus,nan
Falco longipennis,nan
Falco novaeseelandiae,nan
Falco berigora,nan
Falco hypoleucos,nan
Falco subniger,nan
Falco femoralis,nan
Falco rufigularis,nan
Falco deiroleucus,nan
Falco biarmicus,nan
Falco jugger,nan
Falco cherrug,nan
Falco rusticolus,nan
Falco peregrinus,nan
Falco mexicanus,nan
Falco fasciinucha,nan
Nestor notabilis,nan
Nestor productus,nan
Nestor meridionalis,nan
Strigops habroptilus,nan
Zanda funerea,nan
Zanda latirostris,nan
Zanda baudinii,nan
Calyptorhynchus banksii,nan
Calyptorhynchus lathami,nan
Nymphicus hollandicus,nan
Probosciger aterrimus,nan
Callocephalon fimbriatum,nan
Eolophus roseicapilla,nan
Cacatua leadbeateri,nan
Cacatua haematuropygia,nan
Cacatua goffiniana,nan
Cacatua ducorpsii,nan
Cacatua pastinator,nan
Cacatua sanguinea,nan
Cacatua tenuirostris,nan
Cacatua alba,nan
Cacatua ophthalmica,nan
Cacatua moluccensis,nan
Cacatua sulphurea,nan
Cacatua citrinocristata,nan
Cacatua galerita,nan
Psittrichas fulgidus,nan
Coracopsis vasa,nan
Coracopsis nigra,nan
Coracopsis sibilans,nan
Coracopsis barklyi,nan
Micropsitta keiensis,nan
Micropsitta geelvinkiana,nan
Micropsitta pusio,nan
Micropsitta bruijnii,nan
Micropsitta meeki,nan
Micropsitta finschii,nan
Polytelis swainsonii,nan
Polytelis anthopeplus,nan
Polytelis alexandrae,nan
Alisterus scapularis,nan
Alisterus amboinensis,nan
Alisterus chloropterus,nan
Aprosmictus jonquillaceus,nan
Aprosmictus erythropterus,nan
Prioniturus mada,nan
Prioniturus platurus,nan
Prioniturus waterstradti,nan
Prioniturus montanus,nan
Prioniturus platenae,nan
Prioniturus mindorensis,nan
Prioniturus verticalis,nan
Prioniturus flavicans,nan
Prioniturus luconensis,nan
Prioniturus discurus,nan
Eclectus roratus,nan
Eclectus cornelia,nan
Eclectus riedeli,nan
Eclectus polychloros,nan
Eclectus infectus,nan
Geoffroyus geoffroyi,nan
Geoffroyus simplex,nan
Geoffroyus heteroclitus,nan
Psittinus cyanurus,nan
Psittinus abbotti,nan
Mascarinus mascarinus,nan
Psittacula eupatria,nan
Psittacula wardi,nan
Psittacula krameri,nan
Psittacula eques,nan
Psittacula himalayana,nan
Psittacula finschii,nan
Psittacula cyanocephala,nan
Psittacula roseata,nan
Psittacula columboides,nan
Psittacula calthrapae,nan
Psittacula derbiana,nan
Psittacula alexandri,nan
Psittacula caniceps,nan
Psittacula exsul,nan
Psittacula longicauda,nan
Psittacula bensoni,nan
Lophopsittacus mauritianus,nan
Necropsittacus rodricanus,nan
Psittacella picta,nan
Psittacella brehmii,nan
Psittacella modesta,nan
Psittacella madaraszi,nan
Tanygnathus gramineus,nan
Tanygnathus megalorynchos,nan
Tanygnathus lucionensis,nan
Tanygnathus everetti,nan
Tanygnathus sumatranus,nan
Pezoporus wallicus,nan
Pezoporus occidentalis,nan
Neopsephotus bourkii,nan
Neophema chrysostoma,nan
Neophema elegans,nan
Neophema petrophila,nan
Neophema chrysogaster,nan
Neophema pulchella,nan
Neophema splendida,nan
Lathamus discolor,nan
Prosopeia splendens,nan
Prosopeia tabuensis,nan
Prosopeia personata,nan
Eunymphicus cornutus,nan
Eunymphicus uvaeensis,nan
Cyanoramphus ulietanus,nan
Cyanoramphus zealandicus,nan
Cyanoramphus unicolor,nan
Cyanoramphus novaezelandiae,nan
Cyanoramphus hochstetteri,nan
Cyanoramphus saisseti,nan
Cyanoramphus cookii,nan
Cyanoramphus auriceps,nan
Cyanoramphus forbesi,nan
Cyanoramphus malherbi,nan
Barnardius zonarius,nan
Platycercus caledonicus,nan
Platycercus elegans,nan
Platycercus venustus,nan
Platycercus eximius,nan
Platycercus adscitus,nan
Platycercus icterotis,nan
Northiella haematogaster,nan
Northiella narethae,nan
Psephotus haematonotus,nan
Psephotellus varius,nan
Psephotellus dissimilis,nan
Psephotellus chrysopterygius,nan
Psephotellus pulcherrimus,nan
Purpureicephalus spurius,nan
Nannopsittacus melanogenia,nan
Nannopsittacus gulielmitertii,nan
Nannopsittacus nigrifrons,nan
Cyclopsitta diophthalma,nan
Cyclopsitta desmarestii,nan
Cyclopsitta edwardsii,nan
Cyclopsitta salvadorii,nan
Bolbopsittacus lunulatus,nan
