English (Clements),Scientific (Clements),English (AviList),Scientific (AviList),TAXON_CONCEPT_ID,taxon_order,category,species_code,bio_concept_code,primary_com_name,sci_name,order1,family,species_group,sparse_report_as,report_as,four_letter_code,extinct,extinct_year,Afrikaans,Albanian,Arabic,Armenian,Assamese,Asturleonese,Azerbaijani,Bangla (Bangladesh),Bengali (India),Bengali,Bulgarian,Catalan,Chinese - Mandarin (trad),"Chinese, Hong Kong","Chinese, Simple","Creole, Haiti",Croatian,Czech,Danish,Dutch,English (AviList)_translations,English,"English, Australia","English, Bangladesh","English, HBW","English, Hawaii","English, Hong Kong","English, IOC","English, India","English, Kenya","English, Malaysia","English, New Zealand","English, Philippines","English, South Africa","English, UAE","English, United Kingdom","English, United States",Estonian,Euskera,Faroese,Finnish,French,"French, AOS","French, Canada","French, France","French, French Guiana","French, Guadeloupe","French, Haiti",Galician,Georgian,German,Greek,Gujarati,Hebrew,Hindi,Hungarian,Icelandic,Indonesian,Italian,Japanese,Kannada,Kashmiri (India),Kazakh,Konkani,Korean,Kyrgyz,Ladakhi,Latvian,Lithuanian,Malayalam,Manipuri,Marathi,Mizo,Mongolian,Māori,Nepali (India),Nepali (Nepal),Norwegian,Odia,Persian,Polish,"Portuguese, Angola","Portuguese, Azores","Portuguese, Brazil","Portuguese, Madeira","Portuguese, Portugal","Punjabi, India",Romanian,Russian,Serbian,Slovak,Slovenian,Spanish,"Spanish, Argentina","Spanish, Chile","Spanish, Costa Rica","Spanish, Cuba","Spanish, Dominican Republic","Spanish, Ecuador","Spanish, Honduras","Spanish, Mexico","Spanish, Panama","Spanish, Paraguay","Spanish, Peru","Spanish, Puerto Rico","Spanish, Spain","Spanish, Uruguay","Spanish, Venezuela",Swedish,"Tamil, India",Telugu,Thai,Turkish,Ukrainian,Zulu,pri_com_name_indxd,authority_code,authority_ver
Blue-and-white Flycatcher,Cyanoptila cyanomelana,Blue-and-white Flycatcher,Cyanoptila cyanomelana,avibase-B7679B3F,28802,species,bawfly2,avibase-B7679B3F,Blue-and-white Flycatcher,Cyanoptila cyanomelana,Passeriformes,Muscicapidae (Old World Flycatchers),Old World Flycatchers,,bawfly2,,0,,,,,,,,,,,নীল-সাদা চুটকি,Японска синя мухоловка,papamosques blau,白腹琉璃,白腹藍鶲,白腹蓝鹟,,modro-bijela muharica,lejsek modrobílý,,Blauw-witte vliegenvanger,Blue-and-white Flycatcher,Blue-and-white Flycatcher,,,Blue-and-white Flycatcher,,,Blue-and-white Flycatcher,,,,,,,,,Blue-and-white Flycatcher,põhja-sininäpp,,,japaninkaapusieppo,Gobemouche bleu,,Gobemouche bleu,,,,,,,Taigablauschnäpper,,નીલ-સફેદ માખીમાર,,,,Blágrípur,Sikatan biru-putih,,オオルリ,ನೀಲಿಬಿಳಿ ನೊಣಹಿಡುಕ,,,,큰유리새,,,,,ഇന്ദ്രനീലി പാറ്റപിടിയൻ,,,,,,,,cyanfluesnapper,,,tajgówka,,,,,,,,Синяя мухоловка,Plavo-bela muharica,niltava sťahovavá,,Papamoscas Azul,,,,,,,,,,,,,Papamoscas azul,,,blåvit flugsnappare,,,นกจับแมลงสีฟ้าอกดำ,Alaca Mavi Sinekkapan,Мухоловка синя,,"Flycatcher, Blue-and-white",EBIRD,2024
Zappey's Flycatcher,Cyanoptila cumatilis,Zappey's Flycatcher,Cyanoptila cumatilis,avibase-BC81D33B,28805,species,zapfly1,avibase-BC81D33B,Zappey's Flycatcher,Cyanoptila cumatilis,Passeriformes,Muscicapidae (Old World Flycatchers),Old World Flycatchers,,zapfly1,,0,,,,,,,,,,,,Пекинска синя мухоловка,papamosques de Zappey,琉璃藍鶲,琉璃藍鶲,琉璃蓝鹟,,tirkiznoprsa muharica,,,Zappeyvliegenvanger,Zappey's Flycatcher,Zappey's Flycatcher,,,Zappey's Flycatcher,,,Zappey's Flycatcher,,,,,,,,,Zappey's Flycatcher,taiga-sininäpp,,,sinikaapusieppo,Gobemouche de Zappey,,Gobemouche de Zappey,,,,,,,Türkisblauschnäpper,,,,,,,Sikatan cina,,カラオオルリ,,,,,하늘유리새,,,,,,,,,,,,,turkisfluesnapper,,,tajgówka mandżurska,,,,,,,,Бирюзовая мухоловка,Mandžurska muharica,niltava Zappeyova,,Papamoscas de Zappey,,,,,,,,,,,,,Papamoscas de Zappey,,,manchurisk flugsnappare,,,นกจับแมลงสีฟ้าท้องขาว,Zappey Mavi Sinekkapanı,Мухоловка маньчжурська,,"Flycatcher, Zappey's",EBIRD,2024
Matinan Flycatcher,Eumyias sanfordi,Matinan Blue Flycatcher,Eumyias sanfordi,avibase-A89B82E6,28807,species,matfly2,avibase-A89B82E6,Matinan Flycatcher,Eumyias sanfordi,Passeriformes,Muscicapidae (Old World Flycatchers),Old World Flycatchers,,matfly2,,0,,,,,,,,,,,,Минахаска мухоловка,papamosques de Sanford,,,,,minahaska muharica,,,Sanfordniltava,Matinan Flycatcher,Matinan Blue Flycatcher,,,Matinan Warbling-flycatcher,,,Matinan Blue Flycatcher,,,,,,,,,Matinan Flycatcher,minahassa sininäpp,,,minahassansinisieppo,Gobemouche de Sanford,,Gobemouche de Sanford,,,,,,,Sanford-Blauschnäpper,,,,,,,Sikatan matinan,,サンホードヒメアオヒタキ,,,,,,,,,,,,,,,,,,minahasafluesnapper,,,dżunglówka szarawa,,,,,,,,Минахасская нильтава,Muharica iz oblasti Minahasa,niltava horská,,Papamoscas de Sanford,,,,,,,,,,,,,Papamoscas de Sanford,,,minahassaflugsnappare,,,,Sanford Sinekkapanı,Нільтава мінагаська,,"Flycatcher, Matinan",EBIRD,2024
Blue-fronted Flycatcher,Eumyias hoevelli,Blue-fronted Blue Flycatcher,Eumyias hoevelli,avibase-64C5A03E,28808,species,blffly1,avibase-64C5A03E,Blue-fronted Flycatcher,Eumyias hoevelli,Passeriformes,Muscicapidae (Old World Flycatchers),Old World Flycatchers,,blffly1,,0,,,,,,,,,,,,Синьочела мухоловка,papamosques frontblau,,,,,plavoglava muharica,,,Blauwkopniltava,Blue-fronted Flycatcher,Blue-fronted Blue Flycatcher,,,Blue-fronted Warbling-flycatcher,,,Blue-fronted Blue Flycatcher,,,,,,,,,Blue-fronted Flycatcher,pruunselg-sininäpp,,,celebesinsinisieppo,Gobemouche à front bleu,,Gobemouche à front bleu,,,,,,,Celebesblauschnäpper,,,,,,,Sikatan dahi-biru,,セレベスヒメアオヒタキ,,,,,,,,,,,,,,,,,,blåhodefluesnapper,,,dżunglówka modrobrewa,,,,,,,,Синелобая нильтава,Plavočela muharica,niltava modročelá,,Papamoscas Frentiazul,,,,,,,,,,,,,Papamoscas frentiazul,,,blåhuvad flugsnappare,,,,Mavi Alınlı Sinekkapan,Нільтава целебеська,,"Flycatcher, Blue-fronted",EBIRD,2024
Timor Blue Flycatcher,Eumyias hyacinthinus,Timor Blue Flycatcher,Eumyias hyacinthinus,avibase-DB232D5C,28809,species,tibfly2,avibase-DB232D5C,Timor Blue Flycatcher,Eumyias hyacinthinus,Passeriformes,Muscicapidae (Old World Flycatchers),Old World Flycatchers,,tibfly2,,0,,,,,,,,,,,,Тиморска синя мухоловка,papamosques jacint,,,,,hijacintna muharica,,,Hyacintniltava,Timor Blue Flycatcher,Timor Blue Flycatcher,,,Timor Warbling-flycatcher,,,Timor Blue Flycatcher,,,,,,,,,Timor Blue Flycatcher,timori sininäpp,,,timorinsinisieppo,Gobemouche hyacinthe,,Gobemouche hyacinthe,,,,,,,Hyazinthblauschnäpper,,,,,,,Sikatan bakung,,チモールヒメヒタキ,,,,,,,,,,,,,,,,,,hyasintfluesnapper,,,dżunglówka hiacyntowa,,,,,Papa-moscas-azul-de-timor,,,Гиацинтовая нильтава,Timorska plava muharica,niltava hyacintová,,Papamoscas Jacintino,,,,,,,,,,,,,Papamoscas jacintino,,,hyacintflugsnappare,,,,Timor Mavi Sinekkapanı,Нільтава гіацинтова,,"Flycatcher, Timor Blue",EBIRD,2024
Flores Jungle Flycatcher,Eumyias oscillans,Flores Jungle Flycatcher,Eumyias oscillans,avibase-B69E7CB5,28812,species,flojuf2,avibase-B69E7CB5,Flores Jungle Flycatcher,Eumyias oscillans,Passeriformes,Muscicapidae (Old World Flycatchers),Old World Flycatchers,,flojuf2,,0,,,,,,,,,,,,Флореска горска мухоловка,papamosques de l'illa de Flores,,,,,malosundska muharica,,,Floresjunglevliegenvanger,Flores Jungle Flycatcher,Flores Jungle Flycatcher,,,Russet-backed Warbling-flycatcher,,,Flores Jungle Flycatcher,,,,,,,,,Flores Jungle Flycatcher,,,,floresinsieppo,Gobemouche de Florès,,Gobemouche de Florès,,,,,,,Floresdschungelschnäpper,,,,,,,Sikatan flores,,フローレスヒメヒタキ,,,,,,,,,,,,,,,,,,rustryggfluesnapper,,,modrówka floreska (oscillans),,,,,,,,,Floreska prašumska muharica,niltava hrdzavochrbtá,,Papamoscas de Flores,,,,,,,,,,,,,Papamoscas de Flores,,,floresflugsnappare,,,,Flores Orman Sinekkapanı,Джунглівниця флореська,,"Flycatcher, Flores Jungle",EBIRD,2024
Sumba Jungle Flycatcher,Eumyias stresemanni,Sumba Jungle Flycatcher,Eumyias stresemanni,avibase-B136588C,28813,species,flojuf1,avibase-B136588C,Sumba Jungle Flycatcher,Eumyias stresemanni,Passeriformes,Muscicapidae (Old World Flycatchers),Old World Flycatchers,,flojuf1,,0,,,,,,,,,,,,Сумбанска горска мухоловка,papamosques de Sumba fosc,,,,,riđoleđa muharica,,,Soembajunglevliegenvanger,Sumba Jungle Flycatcher,Sumba Jungle Flycatcher,,,Sumba Warbling-flycatcher,,,Sumba Jungle Flycatcher,,,,,,,,,Sumba Jungle Flycatcher,,,,sumbanjalosieppo,Gobemouche de Stresemann,,Gobemouche de Stresemann,,,,,,,Sumbadschungelschnäpper,,,,,,,Sikatan-rimba ayun,,フロレスミツリンヒタキ,,,,,,,,,,,,,,,,,,mørkfluesnapper,,,modrówka floreska,,,,,,,,Флоресская джунглевая мухоловка,Prašumska muharica sa ostrva Sumba,niltava sumbská,,Papamoscas de Sumba Oscuro,,,,,,,,,,,,,Papamoscas de Sumba oscuro,,,sandelflugsnappare,,,,Sumba Orman Sinekkapanı,Джунглівниця сумбанська,,"Flycatcher, Sumba Jungle",EBIRD,2024
Dull-blue Flycatcher,Eumyias sordidus,Dull-blue Flycatcher,Eumyias sordidus,avibase-75A6445E,28814,species,dubfly3,avibase-75A6445E,Dull-blue Flycatcher,Eumyias sordidus,Passeriformes,Muscicapidae (Old World Flycatchers),Old World Flycatchers,,dubfly3,,0,,,,,,,,,,,,Цейлонска мухоловка,papamosques de Sri Lanka,,,,,cejlonska muharica,,,Ceylonese vliegenvanger,Dull-blue Flycatcher,Dull-blue Flycatcher,,,Dull-blue Flycatcher,,,Dull-blue Flycatcher,,,,,,,,,Dull-blue Flycatcher,tuhm-sininäpp,,,srilankansieppo,Gobemouche de Ceylan,,Gobemouche de Ceylan,,,,,,,Ceylonschnäpper,,,,,,,,,セイロンヒタキ,,,,,,,,,,,,,,,,,,lavendelfluesnapper,,,modrówka cejlońska,,,,,,,,Серосиняя мухоловка,Plavosiva muharica,niltava cejlónska,,Papamoscas de Ceilán,,,,,,,,,,,,,Papamoscas de Sri Lanka,,,ceylonflugsnappare,,,,Soluk Mavi Sinekkapan,Мухоловка цейлонська,,"Flycatcher, Dull-blue",EBIRD,2024
Nilgiri Flycatcher,Eumyias albicaudatus,Nilgiri Flycatcher,Eumyias albicaudatus,avibase-52FED114,28815,species,nilfly2,avibase-52FED114,Nilgiri Flycatcher,Eumyias albicaudatus,Passeriformes,Muscicapidae (Old World Flycatchers),Old World Flycatchers,,nilfly2,,0,,,,,,,,,,,,Нилгирийска мухоловка,papamosques dels Nilgiri,,,,,južnogatska muharica,,,Nilgirivliegenvanger,Nilgiri Flycatcher,Nilgiri Flycatcher,,,Nilgiri Flycatcher,,,Nilgiri Flycatcher,,,,,,,,,Nilgiri Flycatcher,kerala sininäpp,,,nilgirinsieppo,Gobemouche des Nilgiri,,Gobemouche des Nilgiri,,,,,,,Nilgirischnäpper,,,,,,,,,インドアイイロヒタキ,ನೀಲಗಿರಿ ನೊಣಹಿಡುಕ,,,,,,,,,നീലക്കിളി പാറ്റപിടിയൻ,,,,,,,,nilgirifluesnapper,,,modrówka turkusowa,,,,,,,,Нильгирийская мухоловка,Nilgirijska muharica,niltava hôrna,Nilgirski muhar,Papamoscas de Los Nilgiri,,,,,,,,,,,,,Papamoscas de los Nilgiri,,,nilgiriflugsnappare,,,,Nilgiri Sinekkapanı,Мухоловка нильгірійська,,"Flycatcher, Nilgiri",EBIRD,2024
Indigo Flycatcher,Eumyias indigo,Indigo Flycatcher,Eumyias indigo,avibase-097312DE,28816,species,indfly1,avibase-097312DE,Indigo Flycatcher,Eumyias indigo,Passeriformes,Muscicapidae (Old World Flycatchers),Old World Flycatchers,,indfly1,,0,,,,,,,,,,,,Малка индигова мухоловка,papamosques anyil,,,,,javanska muharica,,,Indigovliegenvanger,Indigo Flycatcher,Indigo Flycatcher,,,Indigo/Rufous-vented Flycatcher,,,Indigo Flycatcher,,,,,,,,,Indigo Flycatcher,indigo-sininäpp,,,indigosieppo,Gobemouche indigo,,Gobemouche indigo,,,,,,,Javaschnäpper,,,,,,,Sikatan ninon,,アイイロヒタキ,,,,,,,,,,,,,,,,,,indigofluesnapper,,,modrówka indygowa,,,,,,,,Индиговая мухоловка,Indigo muharica,niltava indigová,,Papamoscas Índigo,,,,,,,,,,,,,Papamoscas índigo,,,indigoflugsnappare,,,,Çivit Rengi Sinekkapan,Мухоловка індигова,,"Flycatcher, Indigo",EBIRD,2024
Verditer Flycatcher,Eumyias thalassinus,Verditer Flycatcher,Eumyias thalassinus,avibase-1DF0E856,28821,species,verfly4,avibase-1DF0E856,Verditer Flycatcher,Eumyias thalassinus,Passeriformes,Muscicapidae (Old World Flycatchers),Old World Flycatchers,,verfly4,,0,,,,,,,,,,,নীল কটকটিয়া,Ориенталска тюркоазена мухоловка,papamosques turquesa,銅藍鶲,銅藍鶲,铜蓝鹟,,tirkizna muharica,lejsek bleděmodrý,,Azuurvliegenvanger,Verditer Flycatcher,Verditer Flycatcher,,,Verditer Flycatcher,,,Verditer Flycatcher,,,,,,,,,Verditer Flycatcher,lasuur-sininäpp,,,turkoosisieppo,Gobemouche vert-de-gris,,Gobemouche vert-de-gris,,,,,,,Lazulischnäpper,,હરિતનીલ માખીમાર,,वर्डिटर मछरिया,,Grængrípur,Sikatan hijau-laut,,ロクショウヒタキ,ತಿಳಿ ನೀಲಿ ನೊಣಹಿಡುಕ,,,,파랑딱새,,,,,നീലമേനി പാറ്റപിടിയൻ,,निलांग माशीमार,,,,हरेनी,नीलतुथो अर्जुनक,talassinfluesnapper,,مگس‌گیر فیروزه‌ای,modrówka seledynowa,,,,,,ਨੀਲੀ ਟਿਕਟਿਕੀ,,Небесная мухоловка,Azurna muharica,niltava tyrkysová,,Papamoscas Verdín,,,,,,,,,,,,,Papamoscas verdín,,,turkosflugsnappare,,నీలి ఈగపట్టు పిట్ట,นกจับแมลงสีฟ้า,Gökçe Sinekkapan,Мухоловка бірюзова,,"Flycatcher, Verditer",EBIRD,2024
Buru Jungle Flycatcher,Eumyias additus,Buru Jungle Flycatcher,Eumyias additus,avibase-4EA42529,28825,species,burjuf1,avibase-4EA42529,Buru Jungle Flycatcher,Eumyias additus,Passeriformes,Muscicapidae (Old World Flycatchers),Old World Flycatchers,,burjuf1,,0,,,,,,,,,,,,Буруанска горска мухоловка,papamosques gorjaestriat,,,,,buruska muharica,,,Burujunglevliegenvanger,Buru Jungle Flycatcher,Buru Jungle Flycatcher,,,Buru Warbling-flycatcher,,,Buru Jungle Flycatcher,,,,,,,,,Buru Jungle Flycatcher,buru sininäpp,,,burunviidakkosieppo,Gobemouche à gorge rayée,,Gobemouche à gorge rayée,,,,,,,Buruschnäpper,,,,,,,Sikatan-rimba dada-loreng,,ブルミツリンヒタキ,,,,,,,,,,,,,,,,,,burufluesnapper,,,modrówka brązowa,,,,,,,,Буруанская мухоловка,Muharica sa ostrva Buru,niltava molucká,,Papamoscas Gorjiestriado,,,,,,,,,,,,,Papamoscas gorjiestriado,,,buruflugsnappare,,,,Buru Boz Sinekkapanı,Джунглівниця буруйська,,"Flycatcher, Buru Jungle",EBIRD,2024
Turquoise Flycatcher,Eumyias panayensis,Turquoise Flycatcher,Eumyias panayensis,avibase-7C862AD0,28826,species,islfly1,avibase-7C862AD0,Turquoise Flycatcher,Eumyias panayensis,Passeriformes,Muscicapidae (Old World Flycatchers),Old World Flycatchers,,islfly1,,0,,,,,,,,,,,,Филипинска тюркоазена мухоловка,papamosques illenc,,,,,crnokljuna muharica,,,Panayvliegenvanger,Turquoise Flycatcher,Turquoise Flycatcher,,,Turquoise Flycatcher,,,Turquoise Flycatcher,,,,,,,,,Turquoise Flycatcher,kagu-sininäpp,,,celebesinturkoosisieppo,Gobemouche des îles,,Gobemouche des îles,,,,,,,Azurschnäpper,,,,,,,Sikatan pulau,,アオムネヒタキ,,,,,,,,,,,,,,,,,,maskefluesnapper,,,modrówka lazurowa,,,,,,,,Лазурная мухоловка,Tirkizna muharica,niltava ostrovná,,Papamoscas Isleño,,,,,,,,,,,,,Papamoscas isleño,,,cyanflugsnappare,,,,Turkuaz Sinekkapan,Мухоловка лазурова,,"Flycatcher, Turquoise",EBIRD,2024
White-gorgeted Flycatcher,Anthipes monileger,White-gorgeted Flycatcher,Anthipes monileger,avibase-03E8C346,28834,species,whgfly1,avibase-03E8C346,White-gorgeted Flycatcher,Anthipes monileger,Passeriformes,Muscicapidae (Old World Flycatchers),Old World Flycatchers,,whgfly1,,0,,,,,,,,,,,শ্বেতকন্ঠী চুটকি,Белогуша мухоловка,papamosques gorjablanc,,,白喉姬鹟,,bjelobrada muharica,,,Witbefvliegenvanger,White-gorgeted Flycatcher,White-gorgeted Flycatcher,,,White-gorgeted Flycatcher,,,White-gorgeted Flycatcher,,,,,,,,,White-gorgeted Flycatcher,manisk-sininäpp,,,nauhasieppo,Gobemouche à gorge blanche,,Gobemouche à gorge blanche,,,,,,,Diamantschnäpper,,,,,,,,,ノドジロヒタキ,,,,,,,,,,,,,,,,सेतोकन्ठे अर्जुनक,सेतोकण्ठे अर्जुनक,prydfluesnapper,,,gardłówka białobroda,,,,,,,,Белогорлая мухоловка,Belokragnasta muharica,niltava bielohrdlá,,Papamoscas Gargantilla,,,,,,,,,,,,,Papamoscas gargantilla,,,vitstrupig flugsnappare,,,นกจับแมลงสร้อยคอขาว,Ak Boğazlı Sinekkapan,Мухоловка діамантова,,"Flycatcher, White-gorgeted",EBIRD,2024
Rufous-browed Flycatcher,Anthipes solitaris,Rufous-browed Flycatcher,Anthipes solitaris,avibase-EBEB71F0,28838,species,rubfly3,avibase-EBEB71F0,Rufous-browed Flycatcher,Anthipes solitaris,Passeriformes,Muscicapidae (Old World Flycatchers),Old World Flycatchers,,rubfly3,,0,,,,,,,,,,,,Ръждивовежда мухоловка,papamosques front-roig,,,,,riđočela muharica,,,Roodteugelvliegenvanger,Rufous-browed Flycatcher,Rufous-browed Flycatcher,,,Rufous-browed Flycatcher,,,Rufous-browed Flycatcher,,,,,,,,,Rufous-browed Flycatcher,ruugekulm-sininäpp,,,rusko-ohjassieppo,Gobemouche à face rousse,,Gobemouche à face rousse,,,,,,,Roststirnschnäpper,,,,,,,Sikatan kerongkongan-putih,,アカメヒタキ,,,,,,,,,,,,,,,,,,kanelfluesnapper,,,gardłówka rdzawobrewa,,,,,,,,Рыжебровая мухоловка,Riđoobrvasta muharica,niltava okuliarnatá,,Papamoscas Cejirrufo,,,,,,,,,,,,,Papamoscas cejirrufo,,,rostbrynad flugsnappare,,,นกจับแมลงคอขาวหน้าแดง,Kızılca Kaşlı Sinekkapan,Мухоловка малазійська,,"Flycatcher, Rufous-browed",EBIRD,2024
Rück's Blue Flycatcher,Cyornis ruckii,Rück's Blue Flycatcher,Cyornis ruckii,avibase-EAF7A5C6,28842,species,rubfly1,avibase-EAF7A5C6,Rück's Blue Flycatcher,Cyornis ruckii,Passeriformes,Muscicapidae (Old World Flycatchers),Old World Flycatchers,,rubfly1,,0,,,,,,,,,,,,Меданска синя мухоловка,papamosques de Rück,,,,,medanska muharica,,,Medanniltava,Rück's Blue Flycatcher,Rück's Blue Flycatcher,,,Rück's Blue Flycatcher,,,Rück's Blue Flycatcher,,,,,,,,,Rück's Blue Flycatcher,sumatra sininäpp,,,säihkysinisieppo,Gobemouche de Rück,,Gobemouche de Rück,,,,,,,Oustaletblauschnäpper,,,,,,,Sikatan aceh,,ミミグロヒメアオヒタキ,,,,,,,,,,,,,,,,,,medanfluesnapper,,,dżunglówka samotna,,,,,,,,Синегрудая нильтава,Rikova plava muharica,niltava nížinná,,Papamoscas de Rück,,,,,,,,,,,,,Papamoscas de Rück,,,medanflugsnappare,,,,Rück Mavi Sinekkapanı,Нільтава західна,,"Flycatcher, Rück's Blue",EBIRD,2024
Blue-breasted Blue Flycatcher,Cyornis herioti,Blue-breasted Blue Flycatcher,Cyornis herioti,avibase-62BD5AD2,28843,species,bubfly1,avibase-62BD5AD2,Blue-breasted Blue Flycatcher,Cyornis herioti,Passeriformes,Muscicapidae (Old World Flycatchers),Old World Flycatchers,,bubfly1,,0,,,,,,,,,,,,Лусонска синя мухоловка,papamosques pitblau,,,,,kobaltasta muharica,,,Noord-Luzonniltava,Blue-breasted Blue Flycatcher,Blue-breasted Blue Flycatcher,,,Blue-breasted Blue Flycatcher,,,Blue-breasted Blue Flycatcher,,,,,,,,,Blue-breasted Blue Flycatcher,luzoni sininäpp,,,luzoninsinisieppo,Gobemouche à poitrine bleue,,Gobemouche à poitrine bleue,,,,,,,Heriotblauschnäpper,,,,,,,,,ルソンヒメアオヒタキ,,,,,,,,,,,,,,,,,,blåbrystfluesnapper,,,dżunglówka luzońska,,,,,,,,,Plavogruda plava muharica,niltava modroprsá,,Papamoscas Pechiazul,,,,,,,,,,,,,Papamoscas pechiazul,,,blåbröstad flugsnappare,,,,Mavi Göğüslü Mavi Sinekkapan,Нільтава синьовола,,"Flycatcher, Blue-breasted Blue",EBIRD,2024
Rufous-breasted Blue Flycatcher,Cyornis camarinensis,Rufous-breasted Blue Flycatcher,Cyornis camarinensis,avibase-A9493977,28844,species,bubfly2,avibase-A9493977,Rufous-breasted Blue Flycatcher,Cyornis camarinensis,Passeriformes,Muscicapidae (Old World Flycatchers),Old World Flycatchers,,bubfly2,,0,,,,,,,,,,,,Ръждивогърда синя мухоловка,papamosques de pit canyella,,,,,žućkastogrla muharica,,,Zuid-Luzonniltava,Rufous-breasted Blue Flycatcher,Rufous-breasted Blue Flycatcher,,,Rufous-breasted Blue Flycatcher,,,Rufous-breasted Blue Flycatcher,,,,,,,,,Rufous-breasted Blue Flycatcher,bicoli sininäpp,,,,Gobemouche des Caramines,,Gobemouche des Caramines,,,,,,,Zimtbrust-Blauschnäpper,,,,,,,,,カタンドゥアネスヒメアオヒタキ,,,,,,,,,,,,,,,,,,edelfluesnapper,,,dżunglówka rudzikowa,,,,,,,,,Riđogruda plava muharica,niltava plavoprsá,,Papamoscas Pechicanela,,,,,,,,,,,,,Papamoscas pechicanela,,,bikolflugsnappare,,,,Kızıl Göğüslü Mavi Sinekkapan,Нільтава ультрамаринова,,"Flycatcher, Rufous-breasted Blue",EBIRD,2024
Hainan Blue Flycatcher,Cyornis hainanus,Hainan Blue Flycatcher,Cyornis hainanus,avibase-1326E292,28846,species,habfly1,avibase-1326E292,Hainan Blue Flycatcher,Cyornis hainanus,Passeriformes,Muscicapidae (Old World Flycatchers),Old World Flycatchers,,habfly1,,0,,,,,,,,,,,,Хайнанска синя мухоловка,papamosques de Hainan,海南藍仙鶲,海南藍仙鶲,海南蓝仙鹟,,modra muharica,,,Hainanniltava,Hainan Blue Flycatcher,Hainan Blue Flycatcher,,,Hainan Blue Flycatcher,,,Hainan Blue Flycatcher,,,,,,,,,Hainan Blue Flycatcher,safiir-sininäpp,,,bambusinisieppo,Gobemouche de Hainan,,Gobemouche de Hainan,,,,,,,Hainanblauschnäpper,,,,,,,,,ハイナンヒメアオヒタキ,,,,,,,,,,,,,,,,,,koboltfluesnapper,,,dżunglówka indochińska,,,,,,,,Хайнаньская нильтава,Hajnanska plava muharica,niltava spevavá,,Papamoscas de Hainan,,,,,,,,,,,,,Papamoscas de Hainán,,,koboltflugsnappare,,,นกจับแมลงอกสีฟ้า,Hainan Mavi Sinekkapanı,Нільтава темновола,,"Flycatcher, Hainan Blue",EBIRD,2024
